spearman_rho,kendall_tau,exact_rank_agreement,top_rank_agreement,reference_top,comparison_top,repetition,noise_seed
0.9746794344808963,0.9486832980505138,0,1,A1,A1,460,100501
0.7,0.6,0,1,A1,A1,461,100502
0.8944271909999159,0.8366600265340756,0,1,A1,A1,462,100503
0.8999999999999998,0.8,0,1,A1,A1,463,100504
0.9999999999999999,1.0,1,1,A1,A1,464,100505
0.8999999999999998,0.8,0,1,A1,A1,465,100506
0.7,0.6,0,1,A1,A1,466,100507
0.9746794344808963,0.9486832980505138,0,1,A1,A1,467,100508
0.9999999999999999,1.0,1,1,A1,A1,468,100509
0.8720815992723809,0.7378647873726218,0,0,A1,A4,469,100510
0.8999999999999998,0.8,0,1,A1,A1,470,100511
0.9746794344808963,0.9486832980505138,0,1,A1,A1,471,100512
0.8999999999999998,0.8,0,1,A1,A1,472,100513
0.8999999999999998,0.8,0,1,A1,A1,473,100514
0.8720815992723809,0.7378647873726218,0,1,A1,A1,474,100515
0.9746794344808963,0.9486832980505138,0,1,A1,A1,475,100516
0.39999999999999997,0.4,0,0,A1,A2,476,100517
0.9999999999999999,1.0,1,1,A1,A1,477,100518
0.8720815992723809,0.7378647873726218,0,1,A1,A1,478,100519
0.8999999999999998,0.8,0,1,A1,A1,479,100520
0.9746794344808963,0.9486832980505138,0,1,A1,A1,480,100521
0.9746794344808963,0.9486832980505138,0,1,A1,A1,481,100522
0.39999999999999997,0.4,0,1,A1,A1,482,100523
0.8720815992723809,0.7378647873726218,0,1,A1,A1,483,100524
0.7,0.6,0,1,A1,A1,484,100525
0.9999999999999999,1.0,1,1,A1,A1,485,100526
0.9746794344808963,0.9486832980505138,0,1,A1,A1,486,100527
0.7,0.6,0,0,A1,A5,487,100528
-0.05129891760425771,0.10540925533894598,0,0,A1,A3,488,100529
0.7,0.6,0,1,A1,A1,489,100530
0.7,0.6,0,1,A1,A1,490,100531
0.8999999999999998,0.8,0,1,A1,A1,491,100532
0.6155870112510925,0.5270462766947299,0,1,A1,A1,492,100533
0.8944271909999159,0.8366600265340756,0,1,A1,A1,493,100534
0.9746794344808963,0.9486832980505138,0,1,A1,A1,494,100535
0.9746794344808963,0.9486832980505138,0,1,A1,A1,495,100536
0.9999999999999999,1.0,1,1,A1,A1,496,100537
0.8207826816681234,0.7378647873726218,0,1,A1,A1,497,100538
0.8999999999999998,0.8,0,1,A1,A1,498,100539
0.9746794344808963,0.9486832980505138,0,1,A1,A1,499,100540
0.39999999999999997,0.4,0,1,A1,A1,500,100541
0.9746794344808963,0.9486832980505138,0,1,A1,A1,501,100542
0.8720815992723809,0.7378647873726218,0,1,A1,A1,502,100543
0.39999999999999997,0.4,0,0,A1,A2,503,100544
0.7,0.6,0,1,A1,A1,504,100545
0.8999999999999998,0.8,0,1,A1,A1,505,100546
0.9746794344808963,0.9486832980505138,0,1,A1,A1,506,100547
0.6,0.4,0,0,A1,A5,507,100548
0.8999999999999998,0.8,0,1,A1,A1,508,100549
0.6,0.4,0,1,A1,A1,509,100550
0.9746794344808963,0.9486832980505138,0,1,A1,A1,510,100551
0.8720815992723809,0.7378647873726218,0,1,A1,A1,511,100552
0.8944271909999159,0.8366600265340756,0,1,A1,A1,512,100553
0.6,0.4,0,1,A1,A1,513,100554
0.9746794344808963,0.9486832980505138,0,1,A1,A1,514,100555
0.7999999999999999,0.6,0,0,A1,A4,515,100556
0.7,0.6,0,1,A1,A1,516,100557
0.19999999999999998,0.2,0,0,A1,A4,517,100558
0.9999999999999999,1.0,1,1,A1,A1,518,100559
0.7,0.6,0,1,A1,A1,519,100560
0.6155870112510925,0.5270462766947299,0,1,A1,A1,520,100561
0.9746794344808963,0.9486832980505138,0,1,A1,A1,521,100562
0.8999999999999998,0.8,0,0,A1,A4,522,100563
0.8720815992723809,0.7378647873726218,0,1,A1,A1,523,100564
0.9746794344808963,0.9486832980505138,0,1,A1,A1,524,100565
0.7,0.6,0,1,A1,A1,525,100566
0.8207826816681234,0.7378647873726218,0,1,A1,A1,526,100567
0.8720815992723809,0.7378647873726218,0,1,A1,A1,527,100568
0.8207826816681234,0.7378647873726218,0,1,A1,A1,528,100569
0.8999999999999998,0.8,0,1,A1,A1,529,100570
0.8207826816681234,0.7378647873726218,0,1,A1,A1,530,100571
0.9999999999999999,1.0,1,1,A1,A1,531,100572
0.8207826816681234,0.7378647873726218,0,1,A1,A1,532,100573
0.8720815992723809,0.7378647873726218,0,1,A1,A1,533,100574
0.8720815992723809,0.7378647873726218,0,0,A1,A4,534,100575
0.8999999999999998,0.8,0,0,A1,A4,535,100576
0.8207826816681234,0.7378647873726218,0,1,A1,A1,536,100577
0.8999999999999998,0.8,0,1,A1,A1,537,100578
0.6668859288553503,0.5270462766947299,0,1,A1,A1,538,100579
0.7,0.6,0,1,A1,A1,539,100580
0.9746794344808963,0.9486832980505138,0,1,A1,A1,540,100581
0.30779350562554625,0.31622776601683794,0,0,A1,A2,541,100582
0.7,0.6,0,1,A1,A1,542,100583
0.9746794344808963,0.9486832980505138,0,1,A1,A1,543,100584
0.8720815992723809,0.7378647873726218,0,1,A1,A1,544,100585
0.9999999999999999,1.0,1,1,A1,A1,545,100586
0.8999999999999998,0.8,0,1,A1,A1,546,100587
0.9999999999999999,1.0,1,1,A1,A1,547,100588
0.7,0.6,0,1,A1,A1,548,100589
0.9746794344808963,0.9486832980505138,0,1,A1,A1,549,100590
0.19999999999999998,0.2,0,0,A1,A2,550,100591
0.8944271909999159,0.8366600265340756,0,1,A1,A1,551,100592
0.9746794344808963,0.9486832980505138,0,1,A1,A1,552,100593
0.8207826816681234,0.7378647873726218,0,1,A1,A1,553,100594
0.9999999999999999,1.0,1,1,A1,A1,554,100595
0.9746794344808963,0.9486832980505138,0,1,A1,A1,555,100596
0.7,0.6,0,1,A1,A1,556,100597
0.9999999999999999,1.0,1,1,A1,A1,557,100598
0.9746794344808963,0.9486832980505138,0,1,A1,A1,558,100599
0.8720815992723809,0.7378647873726218,0,0,A1,A4,559,100600
0.8999999999999998,0.8,0,1,A1,A1,560,100601
0.8944271909999159,0.8366600265340756,0,1,A1,A1,561,100602
0.6668859288553503,0.5270462766947299,0,0,A1,A5,562,100603
0.8944271909999159,0.8366600265340756,0,1,A1,A1,563,100604
0.8999999999999998,0.8,0,1,A1,A1,564,100605
0.9999999999999999,1.0,1,1,A1,A1,565,100606
0.8999999999999998,0.8,0,0,A1,A4,566,100607
0.9746794344808963,0.9486832980505138,0,1,A1,A1,567,100608
0.8999999999999998,0.8,0,1,A1,A1,568,100609
0.8720815992723809,0.7378647873726218,0,1,A1,A1,569,100610
0.8944271909999159,0.8366600265340756,0,1,A1,A1,570,100611
0.8720815992723809,0.7378647873726218,0,1,A1,A1,571,100612
0.7,0.6,0,1,A1,A1,572,100613
0.39999999999999997,0.4,0,0,A1,A2,573,100614
0.9999999999999999,1.0,1,1,A1,A1,574,100615
0.5642880936468347,0.31622776601683794,0,0,A1,A4,575,100616
0.8720815992723809,0.7378647873726218,0,0,A1,A4,576,100617
0.8944271909999159,0.8366600265340756,0,1,A1,A1,577,100618
0.9746794344808963,0.9486832980505138,0,1,A1,A1,578,100619
0.11180339887498948,0.11952286093343936,0,0,A1,A2,579,100620
0.8999999999999998,0.8,0,1,A1,A1,580,100621
0.6155870112510925,0.5270462766947299,0,1,A1,A1,581,100622
0.8944271909999159,0.8366600265340756,0,1,A1,A1,582,100623
0.8720815992723809,0.7378647873726218,0,1,A1,A1,583,100624
0.9746794344808963,0.9486832980505138,0,1,A1,A1,584,100625
0.7,0.6,0,1,A1,A1,585,100626
-0.7,-0.6,0,0,A1,A3,586,100627
0.9746794344808963,0.9486832980505138,0,1,A1,A1,587,100628
0.9746794344808963,0.9486832980505138,0,1,A1,A1,588,100629
0.8207826816681234,0.7378647873726218,0,1,A1,A1,589,100630
0.30779350562554625,0.31622776601683794,0,0,A1,A2,590,100631
0.8999999999999998,0.8,0,1,A1,A1,591,100632
0.9746794344808963,0.9486832980505138,0,1,A1,A1,592,100633
0.8207826816681234,0.7378647873726218,0,1,A1,A1,593,100634
0.8720815992723809,0.7378647873726218,0,1,A1,A1,594,100635
0.9746794344808963,0.9486832980505138,0,1,A1,A1,595,100636
